metric_type,source,threshold,window,comparison,radius,dtw_score
Clustering Coefficient,RSV,0.5,30,Active Cases,7,83.38191203573545
Clustering Coefficient,MSV,0.5,15,Active Cases,50,83.47273920279585
Clustering Coefficient,MSV,0.5,30,Active Cases,20,83.71940687998556
Clustering Coefficient,MSV,0.5,30,Active Cases,15,83.95796780899592
Network Density,RSV,0.8,30,Active Cases,15,84.31510636303992
Clustering Coefficient,MSV,0.5,30,Active Cases,7,84.50836187722206
Network Density,MSV,0.8,15,Active Cases,30,84.61147979474372
Clustering Coefficient,RSV,0.6,30,Active Cases,7,84.70596476431447
Clustering Coefficient,MSV,0.6,30,Active Cases,30,85.0195375029404
Clustering Coefficient,RSV,0.6,15,Active Cases,20,85.03202500405486
Clustering Coefficient,MSV,0.6,30,Active Cases,20,85.48936991158561
Clustering Coefficient,RSV,0.5,15,Active Cases,7,85.54106548692809
Clustering Coefficient,MSV,0.6,30,Active Cases,15,85.71166608335768
Network Density,RSV,0.8,30,Active Cases,7,85.83949489269975
Clustering Coefficient,MSV,0.6,30,Active Cases,7,86.00615104068049
Clustering Coefficient,MSV,0.5,15,Active Cases,30,87.26760223715611
Clustering Coefficient,MSV,0.8,30,Active Cases,7,87.90015931028013
Clustering Coefficient,MSV,0.8,30,Active Cases,50,87.90015931028013
Clustering Coefficient,MSV,0.8,30,Active Cases,20,87.90015931028013
Clustering Coefficient,MSV,0.8,30,Active Cases,30,87.90015931028013
Clustering Coefficient,MSV,0.8,30,Active Cases,15,87.90015931028013
Network Density,RSV,0.8,15,Active Cases,7,88.08550786596442
Clustering Coefficient,RSV,0.6,15,Active Cases,15,88.3869993999409
Clustering Coefficient,RSV,0.8,30,Active Cases,50,88.44283572298738
Clustering Coefficient,RSV,0.8,30,Active Cases,30,88.44283572298738
Clustering Coefficient,RSV,0.8,30,Active Cases,20,88.44283572298738
Clustering Coefficient,RSV,0.8,30,Active Cases,15,88.44283572298738
Clustering Coefficient,RSV,0.8,30,Active Cases,7,88.44283572298738
Network Density,MSV,0.8,15,Active Cases,20,88.74954346410688
Clustering Coefficient,MSV,0.5,15,Active Cases,20,89.13010910785435
Clustering Coefficient,MSV,0.5,15,Active Cases,15,90.00412325224276
Network Density,MSV,0.8,15,Active Cases,15,90.61283179379528
Clustering Coefficient,MSV,0.5,15,Active Cases,7,91.42983821318187
Clustering Coefficient,MSV,0.6,15,Active Cases,50,92.84183375669357
Network Density,MSV,0.8,15,Active Cases,7,93.79755746854933
Clustering Coefficient,RSV,0.6,15,Active Cases,7,93.89423910182232
Clustering Coefficient,MSV,0.6,15,Active Cases,30,95.68687131869143
Clustering Coefficient,MSV,0.6,15,Active Cases,20,96.94633047113871
Clustering Coefficient,MSV,0.6,15,Active Cases,15,97.61031222764561
Clustering Coefficient,MSV,0.6,15,Active Cases,7,98.58980649512247
Clustering Coefficient,MSV,0.8,15,Active Cases,50,98.80217865971723
Clustering Coefficient,RSV,0.8,15,Active Cases,50,98.89483300578424
Clustering Coefficient,RSV,0.8,15,Active Cases,30,99.43187769390532
Clustering Coefficient,RSV,0.8,15,Active Cases,7,99.4759293275565
Clustering Coefficient,RSV,0.8,15,Active Cases,20,99.4759293275565
Clustering Coefficient,RSV,0.8,15,Active Cases,15,99.4759293275565
Clustering Coefficient,MSV,0.8,15,Active Cases,30,100.34064019817869
Clustering Coefficient,MSV,0.8,15,Active Cases,20,101.0221920250953
Clustering Coefficient,MSV,0.8,15,Active Cases,15,101.3055277348776
Clustering Coefficient,MSV,0.8,15,Active Cases,7,101.6708732676975
