metric_type,source,threshold,window,comparison,radius,dtw_score
Clustering Coefficient,RSV,0.8,30,Active Cases,15,53.52705931965124
Clustering Coefficient,MSV,0.8,15,Active Cases,30,53.616284802809226
Network Density,MSV,0.4,15,Active Cases,7,53.72799081890165
Clustering Coefficient,MSV,0.5,15,Active Cases,20,53.758932574326124
Network Density,RSV,0.8,15,Active Cases,20,54.16910148386145
Clustering Coefficient,RSV,0.5,15,Active Cases,15,55.43943227816737
Network Density,RSV,0.4,15,Confirmed Cases,7,55.716575091575045
Network Density,MSV,0.8,30,Active Cases,7,56.63079374004307
Clustering Coefficient,RSV,0.4,30,Active Cases,7,56.939292818102395
Network Density,MSV,0.6,30,Active Cases,7,57.28798640625781
Network Density,MSV,0.8,15,Active Cases,20,57.812328101137254
Clustering Coefficient,MSV,0.5,15,Active Cases,15,58.92335400737129
Network Density,RSV,0.8,15,Active Cases,15,59.27294944151827
Clustering Coefficient,MSV,0.6,15,Active Cases,20,60.274656273323956
Clustering Coefficient,RSV,0.6,15,Active Cases,20,60.314811065546564
Clustering Coefficient,RSV,0.8,15,Active Cases,20,60.71673096679108
Clustering Coefficient,MSV,0.5,30,Active Cases,7,60.98461498740625
Clustering Coefficient,MSV,0.4,30,Active Cases,7,61.02734045543992
Clustering Coefficient,MSV,0.6,30,Active Cases,7,62.2728274610378
Clustering Coefficient,RSV,0.5,30,Active Cases,7,62.322928185424644
Clustering Coefficient,MSV,0.8,15,Active Cases,20,62.66229056469593
Network Density,MSV,0.8,15,Active Cases,15,62.89871001767748
Network Density,RSV,0.8,30,Active Cases,7,63.24048823915279
Clustering Coefficient,RSV,0.6,30,Active Cases,7,63.264042732639844
Clustering Coefficient,MSV,0.8,30,Active Cases,7,63.775264736200825
Clustering Coefficient,RSV,0.8,30,Active Cases,7,64.32382157248598
Clustering Coefficient,RSV,0.6,15,Active Cases,15,65.37771623824756
Clustering Coefficient,MSV,0.6,15,Active Cases,15,65.55076969906028
Clustering Coefficient,RSV,0.5,15,Active Cases,7,65.76409749895473
Clustering Coefficient,RSV,0.8,15,Active Cases,15,65.88713094892472
Clustering Coefficient,MSV,0.8,15,Active Cases,15,68.00521215390455
Clustering Coefficient,MSV,0.5,15,Active Cases,7,69.46655665771915
Network Density,RSV,0.8,15,Active Cases,7,69.58758482511747
Network Density,MSV,0.8,15,Active Cases,7,73.39061262564414
Clustering Coefficient,RSV,0.6,15,Active Cases,7,75.73841810619275
Clustering Coefficient,MSV,0.6,15,Active Cases,7,76.12543973054963
Clustering Coefficient,RSV,0.8,15,Active Cases,7,76.29392461531603
Clustering Coefficient,MSV,0.8,15,Active Cases,7,78.66921376187315
