date,ubo,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-10-07,55,0.7020648967551623,38.61356932153392,17.794271576743743
2020-10-08,56,0.7020648967551623,39.315634218289084,18.11780378722999
2020-10-09,95,0.7020648967551623,66.69616519174042,30.73555999619374
2020-10-10,0,0.7020648967551623,0.0,0.0
2020-10-11,0,0.9891304347826086,0.0,0.0
2020-10-12,77,0.9891304347826086,76.16304347826086,35.09817671809255
2020-10-13,82,0.9891304347826086,81.1086956521739,37.377279102384286
2020-10-14,57,0.9891304347826086,56.380434782608695,25.981767180925665
2020-10-15,60,0.9891304347826086,59.347826086956516,27.3492286115007
2020-10-16,0,0.9891304347826086,0.0,0.0
2020-10-17,0,0.9891304347826086,0.0,0.0
2020-10-18,80,0.6840909090909091,54.72727272727273,25.219941348973602
2020-10-19,0,0.6840909090909091,0.0,0.0
2020-10-20,55,0.6840909090909091,37.625,17.338709677419352
2020-10-21,95,0.6840909090909091,64.98863636363636,29.948680351906155
2020-10-22,45,0.6840909090909091,30.78409090909091,14.186217008797652
2020-10-23,100,0.6840909090909091,68.4090909090909,31.524926686217004
2020-10-24,65,0.6840909090909091,44.46590909090909,20.491202346041053
2020-10-25,0,1.0641891891891893,0.0,0.0
2020-10-26,54,1.0641891891891893,57.46621621621622,26.482127288578898
2020-10-27,60,1.0641891891891893,63.851351351351354,29.424585876198776
2020-10-28,50,1.0641891891891893,53.20945945945946,24.520488230165647
2020-10-29,0,1.0641891891891893,0.0,0.0
2020-10-30,52,1.0641891891891893,55.33783783783784,25.50130775937227
2020-10-31,80,1.0641891891891893,85.13513513513514,39.23278116826504
2020-11-01,83,0.7310704960835509,60.67885117493473,27.96260422808052
2020-11-02,75,0.7310704960835509,54.83028720626632,25.2674134591089
2020-11-03,50,0.7310704960835509,36.55352480417754,16.844942306072596
2020-11-04,74,0.7310704960835509,54.099216710182766,24.930514612987448
2020-11-05,47,0.7310704960835509,34.360313315926895,15.834245767708243
2020-11-06,54,0.7310704960835509,39.47780678851175,18.192537690558407
2020-11-07,0,0.7310704960835509,0.0,0.0
2020-11-08,80,1.1418439716312057,91.34751773049645,42.095630290551355
2020-11-09,46,1.1418439716312057,52.52482269503546,24.204987417067027
2020-11-10,0,1.1418439716312057,0.0,0.0
2020-11-11,0,1.1418439716312057,0.0,0.0
2020-11-12,0,1.1418439716312057,0.0,0.0
2020-11-13,88,1.1418439716312057,100.48226950354609,46.30519331960649
2020-11-14,68,1.1418439716312057,77.64539007092199,35.781285746968656
2020-11-15,0,1.388185654008439,0.0,0.0
2020-11-16,0,1.388185654008439,0.0,0.0
2020-11-17,74,1.388185654008439,102.72573839662448,47.339049952361506
2020-11-18,84,1.388185654008439,116.60759493670888,53.73621886484279
2020-11-19,0,1.388185654008439,0.0,0.0
2020-11-20,0,1.388185654008439,0.0,0.0
2020-11-21,79,1.388185654008439,109.66666666666667,50.53763440860215
2020-11-22,74,0.8615384615384615,63.75384615384615,29.37965260545905
2020-11-23,51,0.8615384615384615,43.93846153846154,20.248138957816376
2020-11-24,58,0.8615384615384615,49.96923076923076,23.027295285359795
2020-11-25,71,0.8615384615384615,61.169230769230765,28.188585607940443
2020-11-26,81,0.8615384615384615,69.78461538461538,32.158808933002476
2020-11-27,55,0.8615384615384615,47.38461538461538,21.836228287841188
2020-11-28,0,0.8615384615384615,0.0,0.0
